date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:53	125024/125024	--FM--	200	added ('OK')	application/octet-stream		file:///home/hari/Videos/contact_files/embed_data/js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/embed_data/js	(from )
20:47:53	608/608	--FM--	200	added ('OK')	image/jpeg		file:///home/hari/Videos/H9.jpg	/home/hari/websites/h9studio/file/home/hari/Videos/H9.jpg	(from )
20:47:53	3351/3351	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/OwlCarousel2-2.3.4/dist/assets/owl.carousel.min.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/OwlCarousel2-2.3.4/dist/assets/owl.carousel.min.css	(from )
20:47:53	31000/31000	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/font-awesome-4.7.0/css/font-awesome.min.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/font-awesome-4.7.0/css/font-awesome.min.css	(from )
20:47:53	13851/13851	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/temify-icons.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/temify-icons.css	(from )
20:47:53	2755/2755	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/nice-select.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/nice-select.css	(from )
20:47:53	923/923	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/flaticonss.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/flaticonss.css	(from )
20:47:53	60586/60586	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/d-animate.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/d-animate.css	(from )
20:47:53	3701/3701	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/sticky-nav.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/sticky-nav.css	(from )
20:47:53	71609/71609	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/style2.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/style2.css	(from )
20:47:53	77906/77906	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/css/animation.css	/home/hari/websites/h9studio/file/home/hari/Videos/css/animation.css	(from )
